"sep=,"
define,SD
JEMALLOC_EXTRA_SIZE_CHECK,2
USE_ALIGNED_ACCESS,3
HAVE_KQUEUE,2
HIREDIS_USE_CRYPTO_LOCKS,3
HAVE_LIBSYSTEMD,4
sel,1
JEMALLOC_GCC_ATOMIC_ATOMICS,9
USE_INTERNAL_FPCONV,4
__amd64__,17
__le32__,1
pyr,1
PAGE_MASK,1
USE_OPENSSL,19
JEMALLOC_LAZY_LOCK,6
JEMALLOC_OVERRIDE___LIBC_MALLOC,1
JEMALLOC_U8_ATOMICS,2
USE_SETPROCTITLE,2
__ppc__,3
HW_PHYSMEM,4
BIT_ZERO_ON_RIGHT,1
strncasecmp,1
LUA_DL_DLL,3
LUA_COMPAT_GETN,2
__clang__,19
_MIPSEB,1
__hppa__,1
RAX_MALLOC_INCLUDE,1
LUA_COMPAT_OPENLIB,1
LUA_USER_H,1
REDISMODULE_ATTR,1
JEMALLOC_OVERRIDE___LIBC_CALLOC,1
SWAPPED_DOUBLE,2
LUA_COMPAT_LOADLIB,1
JEMALLOC_ZONE,2
SSIZE_MAX,1
__CYGWIN__,2
JEMALLOC_GLIBC_MALLOC_HOOK,13
JEMALLOC_PURGE_MADVISE_DONTNEED_ZEROS,6
MEMTEST_32BIT,2
__aarch64__,12
JEMALLOC_HAVE_SECURE_GETENV,3
__pnacl__,3
JEMALLOC_DEBUG,11
JEMALLOC_PREFIX,4
__X86_64__,12
CJSON_MODNAME,1
HAVE_ALTIVEC,8
_M_IX86,11
__DECONST,1
BITS_32,4
__arm__,8
SSL_OP_NO_TLSv1_3,1
SSL_OP_NO_TLSv1_2,1
HW_REALMEM,4
MINSTRTABSIZE,1
RUSAGE_THREAD,1
__s390__,5
HAVE_MALLOC_SIZE,6
_CRAY,1
__ATOMIC_SEQ_CST,6
CKH_COUNT,1
HAVE_PROC_SMAPS,3
__ppc64__,4
luac_c,1
SIZE_T_MAX,1
__STDC_LIMIT_MACROS,8
LG_VADDR,2
JEMALLOC_C11_ATOMICS,2
JEMALLOC_VERSION_GID_IDENT,1
CTL_HW,8
__STRICT_ANSI__,1
NO_MALLOC_USABLE_SIZE,3
_WIN32,77
LZF_STATE_ARG,3
assert_not_implemented,2
JEMALLOC_HAVE_PTHREAD_SETNAME_NP,2
JEMALLOC_THREADED_INIT,2
MAP_EXCL,1
SSL_OP_DONT_INSERT_EMPTY_FRAGMENTS,1
JEMALLOC_INTERNAL_TSD_GENERIC_H,1
LUA_USE_DLOPEN,1
FRST,4
BIG_ENDIAN64,8
sparc,1
JEMALLOC_ALLOC_JUNK,1
UINTPTR_MAX,5
LUA_CORE,3
SA_ONSTACK,1
luaall_c,12
_STRUCT_X86_THREAD_STATE64,6
lzf_movsb,2
JEMALLOC_HAVE_SCHED_GETCPU,2
JEMALLOC_EXPERIMENTAL_SMALLOCX_API,1
linux,4
RTREE_NHIB,1
USE_SETCPUAFFINITY,9
STANDALONE,1
__nios2__,1
LUA_DL_DYLD,2
LUA_NUMBER_INT,3
STRBUF_DEFAULT_INCREMENT,1
LUA_LIB,2
HAVE_CLEARENV,2
ONLY64,12
assert,2
__SH4__,1
LUACMSGPACK_MAX_NESTING,1
_SC_PAGESIZE,5
_M_X64,7
RTREE_NSB,4
__DragonFly__,18
__or1k__,1
INT_MAX-20,3
__SH4_SINGLE__,1
HAVE_ATOMIC,2
STRICT_ALIGN,9
__BIG_ENDIAN,5
LG_QUANTUM,20
LUAI_BITSINT-1,2
__PGI,2
SPT_MAXTITLE,1
HAVE_DEFRAG,4
HAVE_PSINFO,2
_GNU_SOURCE,5
SSL_CTX_set_ecdh_auto,1
JEMALLOC_GCC_U8_ATOMIC_ATOMICS,1
JEMALLOC_GCC_U8_SYNC_ATOMICS,1
REDISMODULE_API,1
LOCALTIME_TEST_MAIN,1
JEMALLOC_UNIT_TEST,1
LUA_COMPAT_LSTR,3
va_copy,1
__STDC_VERSION__,10
SPT_MIN,1
NDEBUG,1
SIZE_MAX,4
INT_MAX,3
JEMALLOC_LOG,2
_SC_PHYS_PAGES,5
HLOG,1
SC_NBINS,1
JEMALLOC_TLS,4
JEMALLOC_PTHREAD_CREATE_WRAPPER,3
HAVE_ACCEPT4,3
_M_ARM,3
__UCLIBC__,1
LG_BITMAP_GROUP_NBITS,7
not_implemented,2
JEMALLOC_HAVE_DLSYM,2
REDISMODULE_ATTR_PRINTF,3
__hppa,1
HARDSTACKTESTS,2
JEMALLOC_INTERNAL_TSD_WIN_H,1
__LITTLE_ENDIAN,5
LUAI_BITSINT,6
__has_attribute,2
HAVE_PROC_MAPS,1
RB_COMPACT,2
JEMALLOC_INTERNAL_FFSLL,1
JEMALLOC_HAVE_ATTR,2
PAGES_CAN_PURGE_LAZY,2
USE_JEMALLOC,10
REDIS_TEST,6
NO_SANITIZE,1
__HAIKU__,7
read,1
RTREE_LEAF_COMPACT,4
_CRT_SPINCOUNT,1
JEMALLOC_FREE_JUNK,1
__linux,10
JEMALLOC_OVERRIDE_VALLOC,1
LUA_WIN,5
ENABLE_CJSON_GLOBAL,1
__ia64__,5
NODUMP,3
LG_BITMAP_MAXBITS,7
__sparc_v9__,1
__FreeBSD__,66
__ATOMIC_RELAXED,3
BITMAP_USE_TREE,10
cassert,1
JEMALLOC_STATS,2
USE_TCMALLOC,7
DGUX,1
LUA_USE_READLINE,2
LUA_USE_POPEN,3
RTREE_HEIGHT,7
LUA_DEBUG,1
COVERAGE_TEST,2
SOMAXCONN,1
LUA_MINBUFFER,1
TLS1_3_VERSION,2
USE_PROCESSOR_CLOCK,2
LUA_NUMBER_LLONG,3
m68k,1
HAVE_SYSCTL_KERN_SOMAXCONN,3
STRUCT_INT,1
__midl,2
