"sep=,"
(!(defined(LUA_NUMBER_DOUBLE))) && (defined(LUA_NUMBER_INT) || defined(LUA_NUMBER_LONG) || defined(LUA_NUMBER_LONGLONG) || defined(LUA_NUMBER_LONG_LONG) || defined(LUA_NUMBER_LLONG)),6
defined(not_implemented),1
(!(defined(HAVE_ALTIVEC))) && (defined(HAVE_SSE2)),2
!((! defined JEMALLOC_INTERNAL_POPCOUNTL) || (defined BITMAP_USE_TREE)),2
(((((defined(HAVE_BACKTRACE)) && (!(defined(__APPLE__) && defined(MAC_OS_X_VERSION_10_6)))) && (!(defined(__linux__)))) && (defined(__FreeBSD__))) && (!(defined(__x86_64__)))) && (!(defined(__i386__))),7
((!(defined(_MSC_VER) && !defined(__clang__))) && ((defined(__GNUC__) && ((__GNUC__ > 4) || ((__GNUC__ == 4) && (__GNUC_MINOR__ > 5)))) || defined(__clang__))) && (!(defined(__GNUC__) && !defined(__clang__) && (__GNUC__ >= 7))),4
!defined(VERY_FAST),1
(!defined(BYTE_ORDER)) && (!((BSD >= 199103))),2
!defined(JEMALLOC_ZONE),1
defined(JEMALLOC_USE_SYSCALL) && defined(SYS_write),2
!(LG_SIZEOF_PTR == 3),1
(defined(NODUMP)) && (1),1
((!defined(ZMALLOC_LIB)) && (!defined(NO_MALLOC_USABLE_SIZE) && (defined(__GLIBC__) || defined(__FreeBSD__) || defined(USE_MALLOC_USABLE_SIZE)))) && (!(defined(__FreeBSD__))),5
!defined(_MSC_VER),1
!defined(JEMALLOC_INTERNAL_UNREACHABLE),1
(!defined(HAVE_SETPROCTITLE)) && ((defined __NetBSD__ || defined __FreeBSD__ || defined __OpenBSD__ || defined __DragonFly__)),5
HAVE_CPU_SPINWAIT,1
(!(defined(_MSC_VER))) && (defined(__ATOMIC_SEQ_CST)),2
defined(LUA_NUMBER_DOUBLE),1
(!defined(_WIN32)) && (defined(JEMALLOC_PREFIX)),2
(defined(lua_c) || defined(luaall_c)) && (defined(LUA_USE_READLINE)),3
defined(HAVE_BACKTRACE),1
defined(__i386__) || defined(__x86_64__) || (defined(__sparc__) && defined(__arch64__)),4
(!defined(LG_QUANTUM)) && (defined(__le32__)),2
(!defined(LG_QUANTUM)) && (defined(__tile__)),2
!(defined(JEMALLOC_U8_ATOMICS)),1
defined(JEMALLOC_OVERRIDE_VALLOC),1
defined(JEMALLOC_SYSCTL_VM_OVERCOMMIT),1
!defined(ZMALLOC_LIB),1
(!defined(LG_QUANTUM)) && ((defined(__sparc64__) || defined(__sparcv9) || defined(__sparc_v9__))),4
