"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/ed/sub.c.xml,199,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/ed/undo.c.xml,99,2,6,1.0,0,,,,,,,,0,0,0,0,0,0,1,1,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/getfacl/getfacl.c.xml,188,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/hostname/hostname.c.xml,70,1,5,1.6666666666666667,0.5773502691896257,,,,,,,,3,0,0,0,0,0,0,2,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/kenv/kenv.c.xml,185,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/kill/kill.c.xml,158,2,14,1.2857142857142858,0.48795003647426666,,,,,,,,4,0,0,0,0,0,5,2,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/ln/ln.c.xml,267,1,5,1.6666666666666667,0.5773502691896257,,,,,,,,3,0,0,0,0,0,0,2,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/ls/cmp.c.xml,137,1,1,1.5,0.7071067811865476,,,,,,,,2,0,0,0,0,0,0,2,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/ls/extern.h.xml,40,1,13,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/ls/ls.c.xml,777,3,81,1.0588235294117647,0.24253562503633308,,,,,,,,6,0,0,0,2,0,10,2,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/ls/ls.h.xml,48,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/ls/print.c.xml,687,2,209,1.0833333333333333,0.28867513459481287,,,,,,,,6,0,0,0,0,0,6,2,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/ls/util.c.xml,177,3,4,1.25,0.5,,,,,,,,2,0,0,0,1,2,0,2,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/mkdir/mkdir.c.xml,150,1,5,1.6666666666666667,0.5773502691896257,,,,,,,,3,0,0,0,0,0,0,2,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/mv/mv.c.xml,395,1,5,1.6666666666666667,0.5773502691896257,,,,,,,,3,0,0,0,0,0,0,2,,
/home/user/cppstats/test/freeBSD_res/_cppstats/freebsd-src/bin/pax/ar_io.c.xml,732,2,10,1.25,0.5,,,,,,,,2,0,0,0,0,2,2,2,,
